阅读,评论,标题,作者,最后更新
53950,663,比亚迪还有多少人看多的，未来3~4个交易日要砸出个黄,老大哥888,06-16 11:04
219,0,幸亏昨天跑了，,超超专属,06-16 11:04
412,3,笑坏了，又套了一波[偷笑],jeff_sun,06-16 11:04
211,0,来比亚迪一起抬轿！！,斯哈达瓦勒斯,06-16 11:04
197,0,宁德茅台一下来整个股市不好了,陈鑫悦,06-16 11:02
2431,3,比亚迪开店第49个交易日，累计交易次数17次，今天在22,核心资产后援会长,06-16 11:02
313,1,出了。要调整了,烟火虽美,06-16 11:01
301,1,满仓比亚迪，能不能把基金的本也回了，就看比亚迪能不,天亮以后还是朋友,06-16 11:01
204,0,要翻本的机构应该炒000573,股友JxEhGn,06-16 11:00
278,0,反弹之后的再次跌下来，后面就是真正的大跌了,常州阳光,06-16 11:00
259,0,我说什么来着？那个大眼一出来犬吠，比亚迪准跌,拉高继续,06-16 11:00
6677,13,比亚迪本轮上涨到尾盘，附分析。,wsh910606,06-16 11:00
314,2,好几个汽车集团的市值都不如你，你牛逼大了？,爬地熊,06-16 10:59
211,0,大家一起赚钱不好吗,小张035,06-16 10:59
210,0,跌停,天天牛市天天股灾,06-16 10:59
302,1,最高的时候亏52%，就这？我就是不抛,八方四海的潘乘风,06-16 10:59
222,0,你们不走主力要走了！哈哈！,A小雨学股,06-16 10:59
246,0,果然拉高都是为了减持,股友hBiv2o,06-16 10:58
16581,9,【资讯早知道】小米造车选定比亚迪？王传福：正在洽谈,嘉实基金,06-16 10:58
269,0,今天为啥跌这么厉害？,宏图四海de雨农,06-16 10:57
